"lat","lon"
-75,-170.835995
-74.776,-48.564343
-61.904,-57.14645
-60,-55.14815
-54.8134,-68.2944
-53.772,-67.683
-53.17,-70.9083333333333
-49.3224,-67.7192
-46.5833333333333,168.333333333333
-46.5,164.8
-46.3666666666667,169.783333333333
-46.34639,170.224676
-46.316584,178.886712
-45.8166666666667,170.65
-45.5666666666667,-73.6
-45.4552,-74.6231
-45.336702,144.462887
-45.2333333333333,166.85
-45,167
-44.34,177.4
-44,146
-44,150
-43.967911,-176.319733
-43.8833333333333,168.9
-43.85,-176.45
-43.75,-62.8
-43.5833333333333,172.716666666667
-43,148
-42.761,-65.0197
-42.7584,-65.0314
-42.712699,170.96194
-42.425785,173.672057
-42.4,173.7
-42,144
-41.5456,-72.9113
-41.4733333333333,-72.94
-41.38721,174.626555
-41.313783,174.624757
-41.312182,174.323793
-41.2666666666667,173.233333333333
-41.0833333333333,174.85
-40.7757,-64.9755
-40.7,169.6
-40.49,152.09
-40.0833333333333,148.118055555556
-40.044438,-179.150394
-40,149
-39.875,-73.4
-39.58,178.77
-39.4666666666667,176.883333333333
-39.344608,177.236921
-39.0522222222222,-75.0186111111111
-39.05,-61.8
-39.004456,174.035392
-39,142
-38.133567,-56.805339
-38,172
-37.16,125
-37.0180555555556,178.116666666667
-37,138
-37,150
-36.7077,-73.0692
-36.7,175
-36.296066,174.808136
-36.25,174.233333333333
-36.1666666666667,175.333333333333
-36.1,174.633333333333
-36.08,113.41
-35.9,175.083333333333
-35.604,-56.466452
-35.36,-82.22
-35.2,18.1
-35.2,138.19
-35.0333333333333,20.8666666666667
-35,151
-35,152
-34.8,19.9
-34.7961111111111,20.0719444444444
-34.7,-57.08
-34.7,21
-34.6,20.3
-34.5,19.3
-34.452,18.035
-34.4,18.8
-34.4,20.8
-34.4,21.8
-34.3,18.7
-34.299859,17.839052
-34.1333333333333,172.133333333333
-34.1025,18.9758333333333
-34.1,18.6
-34.09,25.39
-34.07,22.5
-34.0377777777778,23.9272222222222
-34.02,23.8222222222222
-34.017225,25.497178
-33.918827,17
-33.7,26.5
-33.659423,-78.935932
-33.6,-53.06
-33.5916666666667,-71.6166666666667
-33.583333,-71.616667
-33.5,17.621864
-33.5,17.731727
-33.431,-36
-33.39,172.05
-33.377528,-52.943417
-33.3,27.4
-33,163
-32.91,151.79
-32.546191,28.564466
-32.5,115.17
-32.2,163.79
-32.05,-91.0333333333333
-32,115
-31.546103,159.083156
-31.545811,159.082812
-31.3,-176.24
-31,15
-31,43
-30.827,-49.439139
-30.149424,30.997112
-30.02,153.36
-30,16.31449
-30,16.523231
-29.9666666666667,-71.5
-29.943517,-71.32444
-29.939211,159.062671
-29.91934,153.392455
-29.86,31.0433333333333
-29.85868,31.02184
-29.469456,159.119101
-29.1359,31.8612
-29.039921,167.945666
-29.03932,167.943606
-29,16.101197
-28.80138,32.045279
-28.7,113.61
-28.611534,-48.871218
-28,15.018104
-27.839076,49.892575
-27.59,153.6
-27.5,14.809363
-27.201605,-48.491153
-26.893,-48.078328
-26.838163,32.88738
-26.411,153.1487
-26.346308,-70.631411
-26.016838,32.953338
-25.953005,32.62303
-25.899,-48.176975
-25.592483,-48.347013
-25.58,153.28
-25.32,46.17
-25.209939,33.884123
-24.5,170.1
-24.4265,113.1956
-24.1,170
-24.026,-44.881442
-23.9,167.5
-23.862792,35.38148
-23.852385,35.546061
-23.655027,43.641767
-23.6333333333333,-70.6
-23.630241,-70.42636
-23.6,168.5
-23.5,168
-23.441783,151.914621
-23.351619,43.685494
-23.279422,151.83499
-23.120186,150.922916
-23.044,152.98
-23,-42
-22.921416,35.601068
-22.69,167.3
-22.265685,-41.608415
-22.167813,40.365264
-22.15,39.4
-22,174
-21.7,114.5
-21.58,152.65
-21.571,-174.1436
-21.4059,43.6142
-21.241247,-175.025692
-21.23,-159.78
-21,56
-21,167
-20.8971,149.0813
-20.79,149.04
-20.737358,43.995694
-20.699116,54.897288
-20.69,116.5
-20.6,57.8
-20.51854,-29.334836
-20.5,57.7
-20.468189,111.943356
-20.468,-70.0180555555555
-20.406609,57.712051
-20.3814166666667,-40.2589777777778
-20.3333333333333,-40.2333333333333
-20.329831,-40.013493
-20.320064,163.746228
-20.29703,-40.28698
-20.290536,44.27074
-20.237411,148.925811
-20.2166666666667,-70.2
-20.193652,57.44717
-20.1,148.5
-20.0855555555556,-70.0188888888889
-20,165.3
-19.8,119.73
-19.7739,119.0553
-19.7338,163.2644
-19.27,-39.324875
-19.0822,146.7426
-18.78,146.6
-18.710198,146.550978
-18.7,146.6
-18.6,121.53
-18.1,147.6
-18.0355555555556,147.116666666667
-18,179
-17.67,-149.22
-17.59865,118.83329
-17.53412,-149.830682
-17.530509,-149.82914
-17.53,-149.83
-17.5197,-149.7481
-17.5012,49.66225
-17.5,-149.978141
-17.4846,-149.8646
-17.3701,119.1637
-17.3682,119.1789
-17.364987,119.333247
-17.3,178.9
-17.2,11.7
-17.1636,177.9207
-17.1516666666667,122.034166666667
-17.113171,50.133192
-17.0841666666667,-149.134166666667
-17.0841666666667,149.134166666667
-17.052819,178.914892
-17.03,-2.24
-16.936367,42.833112
-16.8227,140.7536
-16.8,122.4
-16.7766,145.9205
-16.2962,139.2712
-16.1371,145.5669
-16.088,-5.565104
-16,-5
-15.81,11.82
-15.67,176.97
-15.6,124.2
-15.4743,136.9343
-15.323,141.3204
-14.777422,145.347378
-14.74,122.42
-14.712794,145.483486
-14.666513,145.462654
-14.6643,145.4474
-14.659536,145.465486
-14.65,145.410793
-14.555969,40.667823
-14.478984,145.508362
-14.3,125.5
-14.23,-76.4
-14.05,-170
-14.0268,121.9596
-13.999042,121.833548
-13.9864,121.775
-13.9478,136.2193
-13.84,144.92
-13.608078,-38.861227
-13.5,123
-13.37118,-38.87249
-13.119451,45.656996
-13,-38.4833333333333
-12.978106,-38.595195
-12.974445,40.499531
-12.969427,40.488202
-12.9650527777778,-38.296325
-12.64,-37.23107
-12.499035,177.071623
-12.444792,44.926579
-12.416251,43.765684
-12.212411,46.54919
-12.181,122.968
-12.164,130.6386
-12.153546,96.862304
-12.1489,96.8648
-12.142004,96.89085
-12.1363,96.7984
-12.1,96.769297
-12.1,96.9
-12.078651,43.171645
-12.0169444444444,96.15
-12,96.83
-11,-77.9
-11,46
-10.8396,141.9656
-10.5641,105.7085
-10.4954,105.6947
-10.480546,105.646813
-10.460628,105.613512
-10.452862,105.629646
-10.4139,105.6128
-10.255964,40.162882
-10.0688888888889,105.100833333333
-9.86,-138.82
-9.8451,-138.9919
-9.8,-138.9
-9.7945,-138.7697
-9.5,160.8
-9.45,-139.05401
-9.406,-33.756674
-9.22,39.65
-9.1568,-171.7664
-9.03,115.1
-9.02,149.15
-8.9,114.2
-8.561369,119.441041
-8.333868,115.64842
-8.277,-34.367456
-8.135,-140.0175
-8,-14
-7.9813,115.3964
-7.929,-14.197362
-7.3299,72.3836
-7.3262,72.5026
-7.316492,133.942151
-7.298257,72.423411
-7.05027777777778,72.0669444444444
-7.05,-34.4
-6.88774,-34.86246
-6.792354,39.208328
-6.749797,39.300974
-6.621,-34.752947
-6.46,39.01
-6.43,-80.9
-6.160199,39.185947
-6,39.7
-5.771085,-35.199566
-5.73480277777778,-35.0677611111111
-5.325649,-35.248962
-5.26666666666667,-35.3666666666667
-5.16,39.16
-5,56
-4.71,55.55
-4.7,55.30939
-4.7,55.64
-4.682669,55.480396
-4.68,55.291537
-4.68,55.48
-4.659087,55.423616
-4.647163,39.380413
-4.5421,55.4296
-4.5251,55.4356
-4.5029,55.5814
-4.335953,55.297839
-4.314078,55.495027
-4.10027777777778,55.0680555555556
-4.067377,39.702996
-4.05,114.666666666667
-4,40
-3.85,-33.8166666666667
-3.83333333333333,-32.4
-3.7,-38.5
-3.62298611111111,-38.3219805555556
-3.6,-38.4
-3.306071,40.516287
-3.15889,-39.123397
-2.83758,-41.68686
-2.8,-171.550505
-2.796932,-171.64286
-2.7947,-171.6292
-2.51,-80.7
-2.175,-42.480425
-2.107936,-43.489737
-2.04,40.95
-2,-156.083333333333
-1.746577,41.49137
-1.65,-91.9833333333333
-1.1,-84.95
-1.05,134.7
-1.04,-81.09
-1.0166,135.227
-0.82902,-46.60465
-0.745961,-4.787142
-0.71,-46.53
-0.700011,-90.65554333
-0.597565,131.055583
-0.525015,-89.9
-0.3796,131.024
-0.352,-47.682662
-0.023003,-48.501911
0.02,-51
0.133333333333333,-47.5333333333333
0.324,6.860847
0.4113,129.651
0.479,-176.5281
0.56,6.5
0.833333333333333,-90.8166666666667
1,-29
1.06833333333333,173.000833333333
1.071,129.574
1.135,-157.066666666667
1.142502,-31.655275
1.26843,154.915
1.35,104.5
1.423907,125.160842
1.477665,124.8171
1.56916666666667,110.375833333333
1.7632,-157.4777
1.799681,-157.365829
1.82,-157.096621
1.8735,-157.2652
1.92972222222222,104.113333333333
1.933,103.118888888889
2.14944444444444,111.519166666667
2.158992,-50.631086
2.21666666666667,-42.65
2.2346,152.893
2.285,-49.963305
2.37,118.2
2.48833333333333,103.623055555556
2.89694444444444,112.095555555556
2.929505,112.06176
3.19472222222222,113.089722222222
3.32364,101.236816
3.33222222222222,101.251388888889
3.33333333333333,-50.6833333333333
3.79861111111111,103.323333333333
4.23,100.52
4.24361111111111,117.884444444444
4.33333333333333,73.15
4.47888888888889,118.617777777778
4.5,168.5
4.52861111111111,100.633888888889
4.877991,-3.982036
4.9536,114.485
5.08361111111111,87.0019444444444
5.13555555555556,-162.002222222222
5.242868,119.96642
5.32555555555556,103.131388888889
5.4,119.9
5.41666666666667,109.566666666667
5.46027777777778,100.206944444444
5.52861111111111,95.4016666666667
5.566,170.032
5.56666666666667,80.3
5.580067,113.986838
5.6,0
5.68,100.371666666667
5.7,81.2333333333333
5.8,1.188582
5.83888888888889,118.121111111111
5.85,-162.05
5.87,-162.08
5.89,102.473333333333
5.9023,-162.0788
5.98277777777778,116.071666666667
6.019033,116.093812
6.035,94.6193
6.28333333333333,82.3833333333333
6.40027777777778,100.130833333333
6.74,125.6
6.85,126.35
6.878104,116.836371
6.87944444444444,116.845833333333
6.9247,158.346
6.925259,122.047269
6.95,79.3
7.00166666666667,-171.035
7.006456,158.199483
7.01,-78.19
7.05,134.26
7.0513,134.26
7.05138888888889,134.068333333333
7.13333333333333,82.4833333333333
7.15,134.3
7.15,134.35
7.16,134.37
7.21,125.75
7.300311,134.472996
7.31,134.49
7.4294,134.6824
7.443686,99.253009
7.5,134.49
7.55,-81
7.56,-81.3
7.64,122.57
7.69,-82.636009
8.05,98.2
8.1,73
8.33333333333333,79.2
8.4,-79.729431
8.49,78.08
8.55,124.6
8.7,123.5
8.87472222222222,76.5883333333333
8.96666666666667,81.85
8.98333333333333,-79.5166666666667
9.08527777777778,-78.1338888888889
9.211,-81.116107
9.2597,167.6182
9.2775,79.1241666666667
9.42,126.15
9.56,123.8
9.58,76.16
9.58,76.17
9.59959,118.344876
9.7,-14.2
9.8,-84.8
9.867671,123.348031
9.93,118.87
10,-80
10.0402777777778,105.783333333333
10.0573,-61.708
10.1,118.5
10.3,-109.249751
10.34,72.37
10.347451,124.005367
10.4421,-64.2232
10.4505,-61.5281
10.5,72.12
10.7839,-61.4636
10.8283,-61.4356
10.9356,-63.8565
11.0166666666667,72.5166666666667
11.040647,-63.921145
11.06,125.79
11.22,123.7
11.4,92.46
11.41,92.43
11.56,79.53
11.61,120.04
11.658082,43.181065
11.695,80.0352777777778
11.75,43.21
11.843384,43.318396
11.92,102.25
11.927044,79.853967
11.96087,43.292736
12,-61
12.240673,109.214914
12.254082,-70.696404
12.297,-61.775228
12.3222,118.2987
12.54,101.37
12.72,-16.9
12.852,-70.057
12.9,100.09
13.239967,144.652838
13.24,-66.1516666666667
13.27,100.84
13.360093,144.771698
13.4,144.9
13.423933,144.789269
